"","x"
"120","WSB1"
"121","PPIG"
"122","PRRG1"
"123","ARHGAP23"
"124","FGFR2"
"125","SLC38A1"
"126","ITM2A"
"127","VCAN"
"128","IFITM3"
"129","DHCR24"
"130","SAMD4A"
"131","MT-ND1"
"132","DNAJC6"
"133","SEC62"
"134","ENPP2"
"135","ZC3H13"
"136","LARP7"
"137","SRCIN1"
"138","ANP32B"
"139","SNHG7"
"140","C4orf48"
"141","GOLGA4"
"142","TPR"
"143","SNX1"
"144","RFX4"
"145","NKX6-2"
"146","DCN"
"147","SAMD8"
"148","CP"
"149","PRRC2C"
"150","CSRP1"
"151","RPL6"
"152","CX3CR1"
"153","ADAM10"
"154","KMT2C"
"155","SORBS1"
"156","UQCRQ"
"157","NIPBL"
"158","MPHOSPH8"
"159","NFIA"
"160","TUBB2B"
"161","ARHGAP5"
"162","MAP4K5"
"163","TPPP"
"164","ITM2C"
"165","ANP32E"
"166","C21orf91"
"167","SVIP"
"168","BCAP29"
"169","SEPT8"
"170","RSF1"
"171","S100A10"
"172","KTN1"
"173","RNF182"
"174","HLA-DPA1"
"175","CANX"
"176","VWF"
"177","DDR2"
"178","CSF1R"
"179","ZNF638"
"180","RPS19"
"181","PLCL1"
"182","LIMCH1"
"183","NEK7"
"184","ZEB1"
"185","SLCO1A2"
"186","FCGR3A"
"187","ETFA"
"188","ADIRF"
"189","ANK3"
"190","MYLK"
"191","SNHG8"
"192","NSRP1"
"193","BRWD1"
"194","ABCG2"
"195","CDKN1C"
"196","HLA-B"
"197","RPL39"
"198","ENDOD1"
"199","SMARCA2"
"200","HBA2"
"201","MFSD6"
"202","MKLN1"
"203","MAPK10"
"204","DYNC1LI1"
"205","COBL"
"206","NPM1"
"207","AKAP9"
"208","CREB5"
"209","PLLP"
"210","BPTF"
"211","HBB"
"212","ABCA8"
"213","NSA2"
"214","SYT11"
"215","STAG2"
"216","TOMM20"
"217","CHRDL1"
"218","SYPL1"
"219","RABEP1"
"220","HNRNPH1"
"221","GPM6A"
"222","TSC22D1"
"223","SENP6"
"224","PAPSS1"
"225","WDFY3"
"226","SLC44A1"
"227","ALCAM"
"228","CASC4"
"229","CLDN5"
"230","CHL1"
"231","DOCK1"
"232","PAXBP1"
"233","SSPN"
"234","HSP90AA1"
"235","PDE4B"
"236","CD24"
"237","ENAH"
"238","AATK"
"239","GABARAPL1"
"240","SLC12A2"
"241","FRA10AC1"
"242","NDUFA1"
"243","FGF2"
"244","WTAP"
"245","H2AFZ"
"246","STX12"
"247","NCAM2"
"248","OCIAD1"
"249","C11orf96"
"250","MAP4K4"
"251","HIPK3"
"252","DDX21"
"253","CEP170"
"254","EIF4ENIF1"
"255","LMBRD2"
"256","SYF2"
"257","SELENOF"
"258","H2AFV"
"259","TUT4"
"260","GCC2"
"261","RAB13"
"262","SGCB"
"263","SSBP3"
"264","CCAR1"
"265","JOSD2"
"266","C3"
"267","ATP9B"
"268","PNN"
"269","IGLC3"
"270","FLNB"
"271","NSFL1C"
"272","MYO1D"
"273","PRUNE2"
"274","TNC"
"275","ANKRD36C"
"276","TRAK2"
"277","ZNF326"
"278","KPNA1"
"279","RNF14"
"280","CBR1"
"281","TPT1"
"282","MYRF"
"283","ANKS1B"
"284","SGCE"
"285","TBC1D12"
"286","QSER1"
"287","CBX3"
"288","TMCO1"
"289","PCMT1"
"290","CYTH1"
"291","ROGDI"
"292","ABCD3"
"293","HMGN5"
"294","RTN4"
"295","GNA13"
"296","PDZD8"
"297","SLTM"
"298","FAM234A"
"299","ZHX1"
"300","WASF3"
"301","TNR"
"302","ARHGEF2"
"303","ANKRD29"
"304","ENOPH1"
"305","ARL3"
"306","KIF3B"
"307","ZNF644"
"308","GADD45A"
"309","GLOD4"
"310","MPDZ"
"311","BOD1L1"
"312","BACE1"
"313","SNX24"
"314","TRIM2"
"315","CIB1"
"316","AMD1"
"317","YPEL2"
"318","BMI1"
"319","SMCHD1"
"320","ABCA6"
"321","SGK3"
"322","SPOCK3"
"323","PKIG"
"324","ZC3H7B"
"325","CEP350"
"326","ANGPT1"
"327","RAB12"
"328","PTPRZ1"
"329","HIBCH"
"330","NOVA1"
"331","ATM"
"332","SCIN"
"333","MTMR10"
"334","ARID4B"
"335","COA5"
"336","ZC3H15"
"337","MPP6"
"338","PLSCR1"
"339","LRRCC1"
"340","SRPK2"
"341","GNB4"
"342","ACYP2"
"343","ZNHIT6"
"344","DDX6"
"345","BCL2L2"
"346","NF1"
"347","UNC5B"
"348","PCGF5"
"349","TOB1"
"350","MRPL3"
"351","VTI1B"
"352","TAGLN"
"353","SMAD2"
"354","DNM3"
"355","SCAPER"
"356","SERP2"
"357","ZNF462"
"358","CELF2"
"359","CPNE3"
"360","ITFG1"
"361","PDE8A"
"362","ZNF280D"
"363","KIF3A"
"364","NEMF"
"365","SHROOM1"
"366","WDR82"
"367","CHPT1"
"368","RPL34"
"369","TMEM63A"
"370","CHD9"
"371","MAPRE2"
"372","DOCK9"
"373","AZI2"
"374","ANKRD18A"
"375","ARRDC3"
"376","MIGA1"
"377","MCL1"
"378","PLPP2"
"379","RBM26"
"380","UBXN4"
"381","CAST"
"382","BAZ2B"
"383","FRYL"
"384","ATP5PO"
"385","BAZ1B"
"386","NAP1L3"
"387","PCM1"
"388","RCN2"
"389","GNG12"
"390","MAP3K5"
"391","PNISR"
"392","FAM198B"
"393","SLC4A7"
"394","EDEM2"
"395","GPR34"
"396","RFFL"
"397","ZBTB20"
"398","FAM13C"
"399","FN3KRP"
"400","RAPGEF2"
"401","SMARCA5"
"402","CTTNBP2"
"403","LRRC1"
"404","RAP2B"
"405","ZKSCAN1"
"406","MRO"
"407","ARHGAP21"
"408","BTBD8"
"409","FCHO2"
"410","ADAMTS10"
"411","AC018647.2"
"412","PLEKHB2"
"413","TULP4"
"414","AK9"
"415","CEP290"
"416","SCG2"
"417","PAICS"
"418","PFDN2"
"419","SCCPDH"
"420","FAM221A"
"421","AKAP13"
"422","RRAGA"
"423","HDAC9"
"424","ITPR2"
"425","TXNDC17"
"426","NIPAL3"
"427","DMXL1"
"428","IFNGR1"
"429","CDH11"
"430","ZNF106"
"431","MAN1A2"
"432","TGFBR1"
"433","UNC119B"
"434","APBB2"
"435","AKT3"
"436","USP31"
"437","ZMAT1"
"438","TROVE2"
"439","RIF1"
"440","MFF"
"441","LGI4"
"442","CCDC92"
"443","ASXL2"
"444","MINDY2"
"445","EPB41L3"
"446","ERBB3"
"447","ADARB2"
"448","PSME1"
"449","CCDC82"
"450","RAPGEF4"
"451","SMC3"
"452","RPS6KC1"
"453","MPP2"
"454","HSPA1A"
"455","MTRNR2L12"
"456","FCGR2A"
"457","LYRM7"
"458","PEPD"
"459","AP3M1"
"460","RASGRF1"
"461","AHNAK"
"462","NUDT9"
"463","ATP8A1"
"464","ATP2B1"
"465","LPGAT1"
"466","MTF2"
"467","EPS15"
"468","ADAMTS1"
"469","OMG"
"470","HELZ"
"471","CHD4"
"472","AMOTL2"
"473","FIBIN"
"474","PABPC1"
"475","LCOR"
"476","CASC3"
"477","ARID1B"
"478","SLC18B1"
"479","R3HDM4"
"480","BMS1"
"481","ZSWIM6"
"482","PADI2"
"483","TMEM47"
"484","CCDC146"
"485","EEA1"
"486","MRPS30"
"487","ATP6V0B"
"488","RAD23B"
"489","DENND5A"
"490","CXXC5"
"491","TWSG1"
"492","CAMK2N1"
"493","TUBB4A"
"494","ZNF664"
"495","RPL36AL"
"496","NFIB"
"497","SLC22A15"
"498","RAPGEF5"
"499","TMOD3"
"500","SAFB2"
