"","x"
"323","PDE6B"
"324","COX7C"
"325","GLG1"
"326","COPS5"
"327","PLRG1"
"328","ING4"
"329","NPAS3"
"330","PJA2"
"331","MUS81"
"332","SLC25A44"
"333","HIPK1"
"334","SRSF3"
"335","TRIM36"
"336","NEMF"
"337","PSMC3"
"338","ARRDC2"
"339","TRIM69"
"340","GTF3A"
"341","KCNN3"
"342","ZKSCAN1"
"343","ATG4C"
"344","TRIM8"
"345","SMIM29"
"346","FAM222A"
"347","KPNB1"
"348","SPNS2"
"349","CDK18"
"350","VIM"
"351","DPP7"
"352","CAMSAP2"
"353","MT1F"
"354","ERBIN"
"355","MIS18BP1"
"356","PAIP2"
"357","MINDY2"
"358","LMNA"
"359","PREX2"
"360","DNAJB11"
"361","PDE4DIP"
"362","TRIM41"
"363","PRKRA"
"364","BRD4"
"365","KBTBD11"
"366","FAM96A"
"367","CIRBP"
"368","UBXN7"
"369","FBXO2"
"370","MYO5A"
"371","FAM124A"
"372","NFX1"
"373","SEC11A"
"374","MAPK3"
"375","MAPK1"
"376","TMEM259"
"377","DFFA"
"378","MLC1"
"379","PPFIA2"
"380","ANP32B"
"381","HLA-DRB1"
"382","SMARCC1"
"383","APLN"
"384","BOD1L1"
"385","LRRC47"
"386","CHKA"
"387","NADK2"
"388","TAOK3"
"389","SEMA3B"
"390","MT1E"
"391","ACOT13"
"392","BCL2L1"
"393","MCRS1"
"394","SAMD1"
"395","CHCHD10"
"396","CTTNBP2"
"397","NCBP3"
"398","CEBPB"
"399","HSPB8"
"400","DCLK2"
"401","TCF3"
"402","TBC1D10B"
"403","RPS3A"
"404","RBM25"
"405","OTUD6B"
"406","PBXIP1"
"407","CSAD"
"408","NSD3"
"409","DPYSL3"
"410","C16orf72"
"411","TSPAN5"
"412","DOCK3"
"413","NUBP2"
"414","ICE2"
"415","GPI"
"416","CSNK2B"
"417","TECPR2"
"418","CARS"
"419","SF1"
"420","GOLGA3"
"421","STAT2"
"422","OXR1"
"423","SYT1"
"424","RILPL1"
"425","NUMA1"
"426","CHI3L1"
"427","FOXO3"
"428","TDP2"
"429","LRRC8D"
"430","HSPB1"
"431","KPNA4"
"432","RAB11FIP4"
"433","TNRC6B"
"434","FAM214B"
"435","NECTIN1"
"436","ALDH7A1"
"437","H1F0"
"438","C1QB"
"439","PTPA"
"440","RBBP4"
"441","CTNNA1"
"442","LPAR6"
"443","AIF1"
"444","LPIN2"
"445","TSC22D1"
"446","DICER1"
"447","ZNF32"
"448","SALL1"
"449","HOOK3"
"450","NLK"
"451","PRKAB2"
"452","FBXL17"
"453","ITM2C"
"454","APBA2"
"455","LRRC8B"
"456","SDF4"
"457","KPNA5"
"458","PRMT1"
"459","SRP19"
"460","LMO2"
"461","SLC37A3"
"462","DNAJA2"
"463","BAZ2A"
"464","CNDP2"
"465","FAM49B"
"466","RNF126"
"467","DYRK1A"
"468","ERP44"
"469","TPT1"
"470","ARFGEF3"
"471","CD59"
"472","SETD5"
"473","GPR62"
"474","LAMP1"
"475","PPP1R13L"
"476","ELF2"
"477","MED13"
"478","ZMAT5"
"479","DPP9"
"480","KMT2C"
"481","YME1L1"
"482","PHACTR2"
"483","PTN"
"484","ZPR1"
"485","SLC9A6"
"486","WBP11"
"487","HNRNPUL2"
"488","STX6"
"489","NNT-AS1"
"490","MED4"
"491","CCAR1"
"492","ZMYM2"
"493","RPL7L1"
"494","MON2"
"495","LASP1"
"496","AP1B1"
"497","TNPO1"
"498","LYNX1"
"499","CX3CR1"
"500","BRI3BP"
